Pillar/indicator_ID;Guide_desc
1;"Pillar 1 covers tariffs and trade defence measures applied to intraregional imports of ICT goods.
ICT products or ICT goods are final goods whose main purpose is to capture, transmit, process,
and render information and intermediate goods and inputs that are crucial to manufacturing these
goods. Examples include smartphones, computers, network equipment, storage media,
semiconductors, electrical parts, electronics, sensors, processors and cables. The RDTII 2.1
results are based on ICT products under WTO Information Technology Agreement (ITA) I and ITA
II, as well as the proposed ITA III expansion by the Information Technology and Innovation
Foundation (ITIF) (see Annex III).4
As figure 5 reveals, these measures are often designed to protect domestic firms, provide a source
of Government revenue, and counteract anti-competitive practices taken by foreign firms or foreign
Governments. However, the measures have risks of limiting the development of the digital
economy market. For example, tariff measures on electronics, telecommunication items and high-
performance computing technologies may reduce an economy’s exposure to advanced digital
products or technologies, thereby deepening digital divides (Ferracane and others, 2019).
Furthermore, tariffs and trade measures on basic materials for batteries and hardware, as well as
finished products such as computers, electronics and telecommunication equipment, affect the
costs of digital trade."
1_1;"This indicator is the weighted average of effectively applied tariffs (AHS) 5 of each reporting
economy to the rest of the economies within the considered United Nations region (e.g., Viet Nam
effectively applied tariffs to the rest of the ESCAP (Asia-Pacific) region). Effectively applied tariffs
are defined by the World Integrated Trade Solution (WITS) as the lowest available tariffs. If a
preferential tariff rate exists, it will be used as the effectively applied tariff. Otherwise, a
most-favoured nation (MFN) applied tariff will be used. The reason why the AHS also incorporates
the preferential tariff is that the index seeks to measure the actual level of tariffs applied to the ICT
goods (the WTO ITA I, ITA II, and the proposed ITA III expansion, see Annex III) from regional
partners considered. Using the MFN tariff alone would only provide a picture of the highest tariff
rates imposed.
The reason why the index uses the weighted average rather than the simple average rates is
that the simple average does not account for the relative importance of ICT goods in terms of their
trade volumes. The weighted average accounts for this relative importance by weighing each tariff
rate by the share of the trade volumes of each tariff line. This means that tariff rates of ICT goods
with higher trade shares get higher weights than tariff rates of ICT goods with lower trade shares."
1_2;"The second indicator is the no duty-free tariff lines or coverage rate of zero-tariffs that apply to ICT
goods (the WTO ITA I, ITA II, and the proposed ITA III expansion) imported from other economies
within the considered region. The indicator follows a linear function, f(x) = -0.025x + 1.75, where
x is the coverage rate calculated from the number of free tariff lines for ICT goods divided by the
total number of tariff lines for ICT goods, multiplied by 100. However, when the coverage rate is
30% or below, the score will be truncated to ‘1.’ In contrast, when the duty-free coverage rate
is greater than 70%, the score will be truncated to ‘0’. The data for zero-tariff lines in a given
economy is found in the WITS database. For the specific steps to find the data for zero-tariff lines,
refer to Annex I."
1_3;"This indicator looks at whether economies are members of the WTO’s ITA I (“the Ministerial
Declaration on Trade in Information Technology Products”) or ITA II (“the Ministerial Declaration
on the Expansion of Trade in Information Technology Products”). The ITA I requires its members
to “eliminate and bind customs duties at zero for all products specified in the Agreement.”6
In ITA II, the members agreed to expand the products covered by ITA I by eliminating tariffs on an
additional list of 201 products.7
The ITA I and II are a close proxy for tariff measures that apply to ICT products. The WTO reports
that, today, ICT products account for approximately 10% of global merchandise exports (WTO,
2001). ICT products covered by the ITA I alone account for approximately 97% of world trade in
the IT sector. The expanded list of the products under ITA II accounts for approximately 7% of
total global trade today.
The reason why the index includes this indicator, even though it already takes into account the
coverage rate of zero tariffs on ICT products, is that the schedules of concessions bind the
economies to their obligations to other members under the agreements, unlike domestic policies
of zero tariffs. Because the members would have the legal obligation not to impose import duties
on the covered products, investors and traders would benefit significantly from improved market
access, predictability and certainty (WTO, 2001)."
1_4;"The indicator looks at whether an economy is enforcing trade defence measures such as
anti-dumping duties, countervailing duties, and safeguard measures against ICT goods and ICT-
related goods imported from any economy in the considered region.
Specifically, the ‘ICT-related goods’ refers to finished products and components used in the ICT
equipment manufacturing, such as electrical connection terminals, aluminum alloy strips, power
transformers, galvanized steel coils, stainless steel tubes, and glass fiber materials. These items
serve as components or inputs in procuring finished products, including ICT goods in some cases.
Raw materials used in ICT manufacturing, such as rare earth elements, lithium, cobalt, and silicon,
are not considered under this definition.
Only the active measures will be counted, while the efforts of investigation measures in the
pre-implementation stage or terminated measures will not be counted. For example:  Argentina imposes an anti-dumping duty on imports of electrical connection terminals
from China and Germany;
• Brazil imposes a definitive anti-dumping duty on imports of loudspeakers from China;
• India imposes an anti-dumping measure on imports of printed circuit boards
originating in or exporting from China and Hong Kong (China), with duty rates between
30% and 76% depending on the exporting company;
• Türkiye imposes an anti-dumping duty on welded stainless-steel tubes, pipes and profiles
originating in China, Malaysia, Viet Nam and Taiwan Province of China, with duty rates
varying by the exporting company."
2;"Pillar 2 covers measures on public procurement related to ICT goods and online services. Public
procurement is generally applied to various sectors, including those related to digital trade,
affecting ICT goods and online services. There is tension among different policy objectives in
procurement policies, as shown in figure 7. It investigates whether domestic bidders tend to have
an advantage in Government procurement. Specifically, for procurement in sectors relevant to
digital trade, such as IT technologies and infrastructure, national security and cybersecurity
interests may be involved in forming procurement policies as procuring entities carry sensitive
information in the operation of public administration.
However, some measures that exclude foreign suppliers in Government procurement block
potential avenues of digital trade. Accordingly, while the national security and cybersecurity
interests are significant, economies need to examine whether the measures are necessary to
serve those interests or if other, less restrictive means exist."
2_1;"This indicator covers measures that exclude foreign enterprises from public procurement,
including for ICT goods and online services. The exclusion of foreign firms in public procurement
not only discriminates against foreign firms but also limits the opportunity of the domestic economy
to access new digital technologies that foreign firms could offer.
• The exclusion is when foreign enterprises are not allowed to participate in the public
procurement of certain ICT goods and online services, or when a list of specific economies,
groups or companies are banned from participating in public tenders. For example, the
Russian Federation has established a ban on the use of foreign messenger services in
public procurement. Moreover, in Nigeria, Government entities must purchase hardware
locally and procure software from local developers;
• Foreign enterprises can only take part in public tenders when domestic service suppliers
are not participating or available. For example, Nepal accepts foreign suppliers only when
competitive prices are not available from more than one local supplier, no national bids are
submitted, or the goods are certified by a public entity as complex or specialized. Bolivia
directs public calls for national purchases of up to approximately US$ 1,166,000 exclusively
to legally established national production companies, with foreign companies allowed only
if no national providers are available. Foreign enterprises can participate in public
procurement when domestic enterprises are required to bid in cooperation with foreign
enterprises. For example, Thailand requires foreign consultants to team up with domestic
ones to participate in public tenders."
2_2;"The indicator asks: (a) whether firms are required to surrender source code, encryption or other
trade secrets, or to transfer ownership of exclusive rights to use IP such as patented technology,
as a condition for successful public procurement and (b) whether firms are required to use a
specific encryption standard to be successful for their bidding.
A requirement to transfer technology or use a specific encryption standard in public procurement
often stems from interest in protecting national security. However, these types of requirements
may prevent foreign companies from entering the domestic market because of concerns about
the disclosure of their trade secrets and the increasing costs of configuration with a new
system. For example:
• Egypt mandates the use of encryption requires the approval of the National Telecom
Regulatory Authority as well as the armed forces and national security entities;
• Indonesia requires that providers of custom software for public electronic systems must
submit source code and docum entation associated with their service to the relevant
public institution; and • Kazakhstan requires that software providers submit source codes and configurations for
inclusion in a unified Government register for public procurement."
2_3;"This indicator covers limitations on participation in public procurement. These limitations can
take various forms: (a) allocation of a quota; (b) preference in favour of certain suppliers; and (c)
price preference in favour of certain suppliers. These limitations trigger when certain conditions are
met, which include: (a) the nationality of suppliers; (b) other status such as being SMEs or
indigenous; and (c) percentage of local content in supplies. For example:
• Argentina establishes that in public-private partnership contracts, at least 33% of the
goods and services used must be provided by local companies;
• Azerbaijan grants a procurement discount of up to 20% in favour of locally produced goods;
• India reserves 25% of the annual procurement quota for micro and small enterprises,
including a 3% reservation for women-owned micro and small enterprises;
• Indonesia requires a minimum 40% domestic content for transmission towers and steel-
reinforced conductors in public procurement ;
• Rwanda imposes local content requirements giving a 15% preference to goods produced
locally and a 10% preference to bidders registered in Rwanda; and
• Sri Lanka provides a 20% domestic preference margin for Government-funded
procurements of manufactured goods that meet a 30% local-value additional test and other
eligibility criteria, such as registration under the Companies Act and submission of an
affidavit and audited financial statements.
These limitations discourage international procurement in sectors relevant to digital trade. To
categorize a measure accordingly, the first step is to identify whether it constitutes a limitation
rather than an exclusion mentioned in indicator 2.1, and the second step is to identify whether the
measure is applied in a discriminatory manner against foreign suppliers or equally applied to all
suppliers."
2_4;"This indicator looks at (a) whether an economy is a signatory to the WTO’s GPA and (b) whether
its coverage schedule includes services relevant to digital trade (box 2). The GPA is a
binding plurilateral agreement that promotes non-discrimination in public procurement by
committing its members to the most-favoured-nation treatment and national treatment. However,
these rules are subject to each party’s coverage schedule (Annex V regarding services of the
GPA)8 that determines whether procurement activities in a particular sector are covered by the
Agreement or not."
3;"Pillar 3 covers measures on foreign direct investment (FDI) in sectors related to digital trade. These
sectors include the manufacturing of telecommunication facilities, telecommunication services,
computer services and Internet services.
Tensions in public and FDI policies may exist between the interests to protect national security
and the domestic market, and the need to attract FDI (figure 9). Furthermore, as much as
telecommunication facilities, networks and other related services are critical, economies may not
want to increase their dependence on foreign investors in these sectors. However, some foreign
investment measures do not necessarily address these concerns but may risk restricting foreign
investment, reducing competition in the market, and limiting users’ opportunities to access better
quality goods and services."
