Act_No,Title,PDF_URL,Status
A1767,CONSTITUTION (AMENDMENT) (NO. 2) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2969198_BI/Act A1767- CONSTITUTION (AMENDMENT) (NO.2) ACT 2025.pdf,Acts
A1766,COMMERCIAL VEHICLES LICENSING BOARD (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2951598_BI/COMMERCIAL VEHICLES LICENSING BOARD (AMENDMENT) ACT 2025.pdf,Acts
A1765,TUNKU ABDUL RAHMAN FOUNDATION FUND (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2899249_BI/Act A1765 - TUNKU ABDUL RAHMAN FOUNDATION FUND (AMENDMENT) ACT 2025.pdf,Acts
A1764,FIRE SERVICES (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2867128_BI/Act A1764- Fire Services (Amendment) Act 2025.pdf,Acts
A1763,SUPPLEMENTARY SUPPLY (2024) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2844057_BI/Act A1763- SUPPLEMENTARY SUPPLY (2024) ACT 2025.pdf,Acts
A1762,BERNAMA (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2843895_BI/Act A1762- BERNAMA (AMENDMENT) ACT 2025.pdf,Acts
A1761,"ANTI-MONEY LAUNDERING, ANTI-TERRORISM FINANCING AND PROCEEDS OF UNLAWFUL
ACTIVITIES (AMENDMENT) ACT 2025","https://lom.agc.gov.my/upload/portal/akta/outputaktap/2843970_BI/Act A1761- ANTI-MONEY LAUNDERING, ANTI-TERRORISM FINANCING DAN PROCEEDS ON UNLAWFUL ACTIVITIES (AMENDMENT) ACT 2025.pdf",Acts
A1760,EMPLOYEES PROVIDENT FUND (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2844030_BI/Act A1760- EMPLOYEES PROVIDED FUND (AMENDMENT) ACT 2025.pdf,Acts
A1759,LABUAN LIMITED PARTNERSHIPS AND LIMITED LIABILITY PARTNERSHIPS (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813222_BI/A1759 BI- LABUAN LIMITED PARTNERSHIPS AND LIMITED LIABILITY PARTNERSHIPS (AMENDMENT) ACT 2025.pdf,Acts
A1758,LABUAN FOUNDATIONS (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813196_BI/A1758 BI - LABUAN FOUNDATIONS (AMENDMENT) ACT 2025.pdf,Acts
A1757,LABUAN TRUSTS (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813180_BI/A1757 BI - LABUAN TRUSTS (AMENDMENT) ACT 2025.pdf,Acts
A1756,LABUAN COMPANIES (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813155_BI/A1756 BI - LABUAN COMPANIES (AMENDMENT) ACT 2025.pdf,Acts
A1755,LEGAL PROFESSION (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813233_BI/A1755 BI- LEGAL PROFESSION (AMENDMENT) ACT 2025.pdf,Acts
A1754,LABOUR ORDINANCE OF SARAWAK (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2790645_BI/Act A1754 LABOUR ORDINANCE OF SARAWAK (AMENDMENT) ACT 2025.pdf,Acts
A1753,LABOUR ORDINANCE OF SABAH (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2759697_BI/A1753 -Labour Ordinance of Sabah (Amendment) Act 2025.pdf,Acts
A1752,CONSTITUTION (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2759695_BI/A1752 Constitution (Amendment) Act 2025.pdf,Acts
A1751,CRIMINAL PROCEDURE CODE (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2731057_BI/Criminal Procedure Code (Amendment) Act 2025 A1751.pdf,Acts
A1750,PENAL CODE (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2731052_BI/Penal Code (Amendment) Act 2025 A1750.pdf,Acts
A1749,"ADMINISTRATION OF ISLAMIC LAW
(FEDERAL TERRITORIES) (AMENDMENT) ACT 2025",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2694479_BI/Act A1749 BI -ADMINISTRATION OF ISLAMIC LAW (FEDERAL TERRITORIES) (AMENDMENT) ACT 2025.pdf,Acts
A1748,NATIONAL WAGES CONSULTATIVE COUNCIL (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2687069_BI/A1748-BI- NATIONAL WAGES CONSULTATIVE COUNCIL (AMENDMENT) ACT 2025.pdf,Acts
A1747,"SYARIAH COURT CIVIL PROCEDURE
(FEDERAL TERRITORIES) (AMENDMENT) ACT 2025",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2687066_BI/A1747-BI- SYARIAH COURT CIVIL PROCEDURE (FEDERAL TERRITORIES) (AMENDMENT) ACT 2025.pdf,Acts
A1746,TRUSTEES (INCORPORATION) (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2694480_BI/Act A1746 BI - TRUSTEES (INCORPORATION) (AMENDMENT) ACT 2025.pdf,Acts
A1745,TRUSTEE (AMENDMENT) ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2694506_BI/Act A1745 BI- TRUSTEE (AMENDMENT) ACT 2025.pdf,Acts
A1744,"WATER SERVICES INDUSTRY (AMENDMENT)
ACT 2025",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2669330_BI/A1744 BI- WATER SERVICES INDUSTRY (AMENDMENT) ACT 2025.pdf,Acts
A1743,"COMMUNICATIONS AND MULTIMEDIA
(AMENDMENT) ACT 2025",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2669326_BI/A1743 BI- COMMUNICATIONS AND MULTIMEDIA (AMENDMENT) ACT 2025.pdf,Acts
A1742,"PREVENTION AND CONTROL OF INFECTIOUS
DISEASES (AMENDMENT) ACT 2025",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2669333_BI/A1742 BI- PREVENTION AND CONTROL OF INFECTIOUS DISEASES (AMENDMENT) ACT 2025.pdf,Acts
A1741,"LABUAN BUSINESS ACTIVITY TAX (AMENDMENT)
(NO. 2) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2592591_BI/Act A1741.pdf,Acts
A1740,SUPPLY ACT 2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2592587_BI/Act A1740 - SUPPLY ACT 2025.pdf,Acts
A1739,ELECTRICITY SUPPLY (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2200928_BI/Electricity Supply (Amendment) Act 2024 - Act A1739.pdf,Acts
A1738,"CONSTRUCTION INDUSTRY PAYMENT AND 
ADJUDICATION (AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2459435_BI/Act A1738.pdf,Acts
A1737,ARBITRATION (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2459432_BI/Act A1737.pdf,Acts
A1736,"SECURITY OFFENCES (SPECIAL MEASURES) 
(AMENDMENT) ACT 2024",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2459430_BI/Act A1736.pdf,Acts
A1735,ARMED FORCES (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2459424_BI/Act A1735.pdf,Acts
A1734,SEXUAL OFFENCES AGAINST CHILDREN (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2459417_BI/Act A1734.pdf,Acts
A1733,OATHS AND AFFIRMATIONS (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2459410_BI/Act A1733.pdf,Acts
A1732,EVIDENCE (AMENDMENT) ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2459405_BI/Act A1732.pdf,Acts
