Start_Index,Act_No,Title_EN,Title_BM,Royal_Assent_Date,Publication_Date,Commencement_Date,Commencement_Remark,PDF_URL
0,A1767,CONSTITUTION (AMENDMENT) (NO. 2) ACT 2025,AKTA PERLEMBAGAAN (PINDAAN) (NO. 2) 2025,09/07/2025,18/07/2025,,NOT YET IN FORCE,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2969198_BI/Act A1767- CONSTITUTION (AMENDMENT) (NO.2) ACT 2025.pdf
1,A1766,COMMERCIAL VEHICLES LICENSING BOARD (AMENDMENT) ACT 2025,AKTA LEMBAGA PELESENAN KENDERAAN PERDAGANGAN (PINDAAN) 2025,26/06/2025,09/07/2025,10/07/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2951598_BI/COMMERCIAL VEHICLES LICENSING BOARD (AMENDMENT) ACT 2025.pdf
2,A1765,TUNKU ABDUL RAHMAN FOUNDATION FUND (AMENDMENT) ACT 2025,AKTA KUMPULAN WANG YAYASAN TUNKU ABDUL RAHMAN (PINDAAN) 2025,27/05/2025,06/06/2025,15/06/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2899249_BI/Act A1765 - TUNKU ABDUL RAHMAN FOUNDATION FUND (AMENDMENT) ACT 2025.pdf
3,A1764,FIRE SERVICES (AMENDMENT) ACT 2025,AKTA PERKHIDMATAN BOMBA (PINDAAN) 2025,06/05/2025,22/05/2025,,"(a)	1 July 2025 as the date on which sections 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17 and 18 of the Act come into operation; and

(b)	1 January 2026 as the date on which sections 2, 3, 4, 11, 19, 20 and 21 of the Act come into operation.",https://lom.agc.gov.my/upload/portal/akta/outputaktap/2867128_BI/Act A1764- Fire Services (Amendment) Act 2025.pdf
4,A1763,SUPPLEMENTARY SUPPLY (2024) ACT 2025,AKTA PERBEKALAN TAMBAHAN (2024) 2025,24/04/2025,14/05/2025,15/05/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2844057_BI/Act A1763- SUPPLEMENTARY SUPPLY (2024) ACT 2025.pdf
5,A1762,BERNAMA (AMENDMENT) ACT 2025,AKTA BERNAMA (PINDAAN) 2025,24/04/2025,14/05/2025,,14/6/2025 [P.U. (B) 220/2025,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2843895_BI/Act A1762- BERNAMA (AMENDMENT) ACT 2025.pdf
6,A1761,"ANTI-MONEY LAUNDERING, ANTI-TERRORISM FINANCING AND PROCEEDS OF UNLAWFUL
ACTIVITIES (AMENDMENT) ACT 2025","AKTA PENCEGAHAN PENGUBAHAN WANG HARAM, PENCEGAHAN PEMBIAYAAN KEGANASAN DAN
HASIL DARIPADA AKTIVITI HARAM
(PINDAAN) 2025",24/04/2025,14/05/2025,,NOT YET IN FORCE,"https://lom.agc.gov.my/upload/portal/akta/outputaktap/2843970_BI/Act A1761- ANTI-MONEY LAUNDERING, ANTI-TERRORISM FINANCING DAN PROCEEDS ON UNLAWFUL ACTIVITIES (AMENDMENT) ACT 2025.pdf"
7,A1760,EMPLOYEES PROVIDENT FUND (AMENDMENT) ACT 2025,AKTA KUMPULAN WANG SIMPANAN PEKERJA (PINDAAN) 2025,24/04/2025,14/05/2025,,1/10/2025 [P.U. (B) 354/2025],https://lom.agc.gov.my/upload/portal/akta/outputaktap/2844030_BI/Act A1760- EMPLOYEES PROVIDED FUND (AMENDMENT) ACT 2025.pdf
8,A1759,LABUAN LIMITED PARTNERSHIPS AND LIMITED LIABILITY PARTNERSHIPS (AMENDMENT) ACT 2025,"AKTA PERKONGSIAN TERHAD DAN
PERKONGSIAN LIABILITI TERHAD LABUAN (PINDAAN) 2025",08/04/2025,22/04/2025,23/04/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813222_BI/A1759 BI- LABUAN LIMITED PARTNERSHIPS AND LIMITED LIABILITY PARTNERSHIPS (AMENDMENT) ACT 2025.pdf
9,A1758,LABUAN FOUNDATIONS (AMENDMENT) ACT 2025,AKTA YAYASAN LABUAN (PINDAAN) 2025,08/04/2025,22/04/2025,23/04/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813196_BI/A1758 BI - LABUAN FOUNDATIONS (AMENDMENT) ACT 2025.pdf
10,A1757,LABUAN TRUSTS (AMENDMENT) ACT 2025,AKTA AMANAH LABUAN (PINDAAN) 2025,08/04/2025,22/04/2025,23/04/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813180_BI/A1757 BI - LABUAN TRUSTS (AMENDMENT) ACT 2025.pdf
11,A1756,LABUAN COMPANIES (AMENDMENT) ACT 2025,AKTA SYARIKAT LABUAN (PINDAAN) 2025,08/04/2025,22/04/2025,23/04/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813155_BI/A1756 BI - LABUAN COMPANIES (AMENDMENT) ACT 2025.pdf
12,A1755,LEGAL PROFESSION (AMENDMENT) ACT 2025,"AKTA PROFESION UNDANG-UNDANG
(PINDAAN) 2025",08/04/2025,22/04/2025,09/05/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2813233_BI/A1755 BI- LEGAL PROFESSION (AMENDMENT) ACT 2025.pdf
13,A1754,LABOUR ORDINANCE OF SARAWAK (AMENDMENT) ACT 2025,AKTA ORDINAN BURUH SARAWAK (PINDAAN) 2025,20/03/2025,14/04/2025,01/05/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/2790645_BI/Act A1754 LABOUR ORDINANCE OF SARAWAK (AMENDMENT) ACT 2025.pdf
