Start_Index,Publication_Date,PU_No,Title,Status,Date_of_Commencement,PDF_URL
0,2025-10-13,P.U. (A) 364/2025,CONSTRUCTION INDUSTRY PAYMENT AND ADJUDICATION  (AMENDMENT) REGULATIONS 2025,AMENDMENT,01/01/2026,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3121757/PUA 364_2025.pdf
0,2025-10-10,P.U. (A) 363/2025,ROAD TRANSPORT (PROHIBITION OF USE OF ROAD) (FEDERAL ROADS) (NO. 8) ORDER 2025,PRINCIPAL,13/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3123902/PUA 363.pdf
0,2025-10-08,P.U. (A) 362/2025,PATENTS (AMENDMENT) REGULATIONS 2025,AMENDMENT,31/12/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3100067/PUA 362_2025.pdf
0,2025-10-03,P.U. (A) 361/2025,TOURISM INDUSTRY (COMPOUNDING OF OFFENCES) (AMENDMENT) REGULATIONS 2025,AMENDMENT,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3109858/PUA 361_2025.pdf
0,2025-10-03,P.U. (A) 360/2025,INCOME TAX (DEDUCTION OF COST FOR RELOCATION  OF BUSINESS) (PULAU 1 OF FOREST CITY  SPECIAL FINANCIAL ZONE) RULES 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106521/P.U. (A) 360_2025.pdf
0,2025-10-03,P.U. (A) 359/2025,INCOME TAX (INDUSTRIAL BUILDING ALLOWANCE)  (PULAU 1 OF FOREST CITY SPECIAL FINANCIAL ZONE) RULES 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106509/PUA 359_2025.pdf
0,2025-10-03,P.U. (A) 358/2025,REAL PROPERTY GAINS TAX (PULAU 1 OF FOREST CITY SPECIAL FINANCIAL ZONE) (EXEMPTION) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106535/P.U. (A) 358_2025.pdf
0,2025-10-03,P.U. (A) 357/2025,INCOME TAX  (INCOME OF NON-RESIDENT PERSON)  (PULAU 1 OF FOREST CITY SPECIAL FINANCIAL ZONE) (EXEMPTION) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106472/PUA 357_2025.pdf
0,2025-10-03,P.U. (A) 356/2025,STAMP DUTY  (INSTRUMENT OF TRANSFER IN RELATION TO QUALIFYING PERSON) (PULAU 1 OF FOREST CITY SPECIAL FINANCIAL ZONE) (REMISSION) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106645/PUA 356_2025.pdf
0,2025-10-03,P.U. (A) 355/2025,STAMP DUTY (INSTRUMENT OF LOAN OR FINANCING AGREEMENT IN RELATION TO QUALIFYING PERSON) (PULAU 1 OF FOREST CITY SPECIAL FINANCIAL ZONE) (REMISSION) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106666/P.U. (A) 355_2025.pdf
