Start_Index,Publication_Date,PU_No,Title,Status,Date_of_Commencement,PDF_URL
0,2025-10-13,P.U. (B) 370/2025,APPOINTMENT OF NOTARIES PUBLIC,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3131039/PUB 370_2025.pdf
0,2025-10-13,P.U. (B) 369/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3123524/PUB 369 (2025).pdf
0,2025-10-13,P.U. (B) 368/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3123525/PUB 368 (2025).pdf
0,2025-10-10,P.U. (B) 367/2025,NOTIFICATION UNDER SUBREGULATION 3(3)  FOR THE PURPOSE OF GENERAL ELECTION FOR  THE SEAT OF THE LEGISLATIVE ASSEMBLY OF  THE STATE OF SABAH,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3124965/PUB 367.pdf
0,2025-10-09,P.U. (B) 366/2025,NOTIFICATION AND REVOCATION OF NOTIFICATION  UNDER PARAGRAPH 3(1)(e),PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3123816/PUB 366_2025.pdf
0,2025-10-09,P.U. (B) 365/2025,APPOINTMENT OF PROBATION OFFICERS,PRINCIPAL,13/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3123751/P.U. (B) 365_2025.pdf
0,2025-10-09,P.U. (B) 364/2025,NOTIFICATION OF SURRENDER OF BREEDER’S RIGHT,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3122426/P.U. (B) 364_2025.pdf
0,2025-10-09,P.U. (B) 363/2025,APPOINTMENT OF PROTECTORS,PRINCIPAL,13/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3098457/P.U. (B) 363_2025.pdf
0,2025-10-08,P.U. (B) 362/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3118998/PUB362_2025.pdf
0,2025-10-02,P.U. (B) 361/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3105948/PUB 361_2025.pdf
0,2025-10-02,P.U. (B) 360/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3105503/PUB360_2025.pdf
0,2025-10-02,P.U. (B) 359/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106608/PUB 359_2025.pdf
0,2025-10-02,P.U. (B) 358/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3105967/PUB 358_2025.pdf
0,2025-10-02,P.U. (B) 357/2025,APPOINTMENT OF PROBATION OFFICERS,PRINCIPAL,08/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106485/PUB357_2025.pdf
0,2025-10-02,P.U. (B) 356/2025,NOTICE OF EXEMPTION UNDER SUBSECTION 73(1) (NIRVANA KL BERHAD),PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3106026/PUB356_2025.pdf
0,2025-09-30,P.U. (B) 355/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3100047/PUB355_2025.pdf
0,2025-09-30,P.U. (B) 354/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3078035/PUB354_2025.pdf
0,2025-09-26,P.U. (B) 353/2025,NOTIFICATION OF VALUE OF PALM KERNEL UNDER SECTION 12,PRINCIPAL,01/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3094756/PUB 353 (2025).pdf
0,2025-09-26,P.U. (B) 352/2025,NOTIFICATION OF VALUE OF CRUDE PETROLEUM OIL UNDER SECTION 12,PRINCIPAL,03/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3094754/PUB 352 (2025).pdf
0,2025-09-25,P.U. (B) 351/2025,APPOINTMENT OF JUDGE  OF THE SYARIAH APPEAL COURT,PRINCIPAL,26/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3094639/PUB351_2025.pdf
0,2025-09-25,P.U. (B) 350/2025,APPOINTMENT OF JUDGE  OF THE SYARIAH APPEAL COURT,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3093847/PUB350_2025.pdf
0,2025-09-25,P.U. (B) 349/2025,APPOINTMENT OF JUDGES  OF THE SYARIAH APPEAL COURT -  CORRIGENDUM,CORRIGENDUM,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3093852/PUB349_2025.pdf
0,2025-09-25,P.U. (B) 348/2025,NOTIFICATION OF VALUE OF CRUDE PALM OIL UNDER SECTION 12,PRINCIPAL,01/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3093513/PUB348_2025.pdf
0,2025-09-24,P.U. (B) 347/2025,APPOINTMENT OF AUTHORIZED OFFICERS,PRINCIPAL,26/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3092010/P.U. (B) 347_2025.pdf
0,2025-09-24,P.U. (B) 346/2025,APPOINTMENT OF AUTHORIZED OFFICERS,PRINCIPAL,26/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3089647/PUB 346.pdf
0,2025-09-24,P.U. (B) 345/2025,NOTICE REGARDING THE CERTIFICATION AND  INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL FOR THE MONTH OF AUGUST 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3089811/P.U. (B) 345_2025.pdf
0,2025-09-24,P.U. (B) 344/2025,APPOINTMENT OF PROTECTORS,PRINCIPAL,26/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3090877/PUB 344.pdf
0,2025-09-23,P.U. (B) 343/2025,"NOTICE OF IMPENDING TERMINATION OF THE IMPOSITION OF ANTI-DUMPING DUTIES ON IMPORTS OF COLD ROLLED STAINLESS STEEL IN COILS, SHEETS OR ANY OTHER FORM ORIGINATING OR EXPORTED FROM THE REPUBLIC OF INDONESIA AND THE SOCIALIST REPUBLIC OF VIET NAM",PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3089403/PUB 343 (2025).pdf
0,2025-09-23,P.U. (B) 342/2025,NOTIFICATION OF AUTHORIZATION  UNDER SUBSECTION 9(1),PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3088563/PUB 342 (2025).pdf
0,2025-09-23,P.U. (B) 341/2025,APPOINTMENT OF PERSONAL DATA  PROTECTION COMMISSIONER,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3082378/PUB 341 (2025).pdf
0,2025-09-23,P.U. (B) 340/2025,APPOINTMENT AND TERMINATION OF APPOINTMENT OF MEMBERS OF THE LAW REVISION COMMITTEE,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3086678/PUB 340.pdf
0,2025-09-22,P.U. (B) 339/2025,NOTICE UNDER SECTION 70,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3085955/PUB 339 (2025).pdf
0,2025-09-21,P.U. (B) 338/2025,PRESCRIPTION OF APPROVED ROUTES AND DECLARATION OF IMMIGRATION CONTROL POSTS,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3083212/PUB  338_2025.pdf
0,2025-09-17,P.U. (B) 337/2025,NOTIFICATION UNDER PARAGRAPH 3(1)(e),PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3077216/PUB337_2025.pdf
0,2025-09-17,P.U. (B) 336/2025,NOTIFICATION OF APPLICATION  FOR REGISTRATION OF NEW PLANT VARIETY AND  GRANT OF BREEDER’S RIGHT,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3077247/PUB336_2025.pdf
0,2025-09-17,P.U. (B) 335/2025,NOTIFICATION OF VALUE OF CRUDE PETROLEUM OIL UNDER SECTION 12,PRINCIPAL,19/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3076977/PUB335_2025.pdf
0,2025-09-10,P.U. (B) 334/2025,DETERMINATION OF SPECTRUM ASSIGNMENT  UNDER SECTIONS 10 AND 174,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3067707/PUB 334_2025.pdf
0,2025-09-10,P.U. (B) 333/2025,APPOINTMENT OF MEMBERS OF COUNCIL OF MALAYSIAN QUALIFICATIONS AGENCY,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3069046/PUB 333 (2025).pdf
0,2025-09-10,P.U. (B) 332/2025,APPOINTMENT OF MEMBERS OF COUNCIL OF MALAYSIAN QUALIFICATIONS AGENCY,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3068913/PUB 332 (2025).pdf
0,2025-09-09,P.U. (B) 331/2025,APPOINTMENT OF GOVERNMENT PSYCHIATRIC HOSPITAL,PRINCIPAL,10/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3067651/PUB 331 (2025).pdf
0,2025-09-09,P.U. (B) 330/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3063291/PUB 330.pdf
0,2025-09-09,P.U. (B) 329/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3063259/PUB 329.pdf
0,2025-09-09,P.U. (B) 328/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3063201/PUB 328.pdf
0,2025-09-09,P.U. (B) 327/2025,APPOINTMENT AND REVOCATION OF APPOINTMENT OF HENRY GURNEY SCHOOL,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3063038/PUB 327 (2025).pdf
0,2025-09-02,P.U. (B) 326/2025,APPOINTMENT AND REVOCATION OF APPOINTMENT  OF DEPUTY COMMISSIONER OF BUILDINGS FOR THE FEDERAL TERRITORY OF LABUAN,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3055329/P.U. (B) 326_2025.pdf
0,2025-08-29,P.U. (B) 325/2025,NOTIFICATION OF FREE ZONES  (AMENDMENT OF SECOND SCHEDULE) (NO. 4) 2025,PRINCIPAL,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3033513/PUB 325 (2025).pdf
0,2025-08-29,P.U. (B) 324/2025,NOTIFICATION OF FREE ZONES,PRINCIPAL,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3033503/PUB 324 (2025).pdf
0,2025-08-29,P.U. (B) 323/2025,NOTIFICATION OF REVOCATION OF FREE ZONES,PRINCIPAL,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3033484/PUB 323 (2025).pdf
0,2025-08-29,P.U. (B) 322/2025,APPOINTMENT OF REGISTRAR FOR PERSONS  WITH DISABILITIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3045679/P.U. (B) 322_2025.pdf
0,2025-08-27,P.U. (B) 321/2025,NOTIFICATION OF VALUE OF PALM KERNEL UNDER SECTION 12,PRINCIPAL,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3046647/PUB321_2025.pdf
0,2025-08-27,P.U. (B) 320/2025,NOTIFICATION OF VALUE OF CRUDE PETROLEUM OIL UNDER SECTION 12,PRINCIPAL,05/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3046627/PUA320_2025.pdf
0,2025-08-27,P.U. (B) 319/2025,FATWA UNDER SECTION 34,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3044204/PUB319_2025.pdf
0,2025-08-25,P.U. (B) 318/2025,APPOINTMENT OF MEMBERS OF THE COMMISSION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3041746/PUB318_2025.pdf
0,2025-08-25,P.U. (B) 317/2025,APPOINTMENT UNDER SUBSECTION 134(2),PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3014998/PUB317_2025.pdf
0,2025-08-22,P.U. (B) 316/2025,APPOINTMENT OF CHAIRMAN OF A DIVISION  OF THE INDUSTRIAL COURT,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3039272/PUB 316.pdf
0,2025-08-21,P.U. (B) 315/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3037107/PUB 315 (2025).pdf
