Start_Index,Act_No,Title,Date_of_Royal_Assent,Publication_Date,Date_of_Commencement,PDF_URL
0,870,"CARBON CAPTURE, UTILIZATION AND STORAGE ACT 2025",22/07/2025,01/08/2025,,"https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2995040_BI/Act 870 CARBON CAPTURE, UTILIZATION AND STORAGE ACT 2025.pdf"
0,869,PARLIAMENTARY SERVICE ACT 2025,09/07/2025,18/07/2025,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2969226_BI/Act 869- PARLIAMENTARY SERVICE ACT 2025.pdf
0,868,MALAYSIAN MEDIA COUNCIL ACT 2025,27/05/2025,06/06/2025,14/06/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2899250_BI/Act 868 - MALAYSIAN MEDIA COUNCIL ACT 2025.pdf
0,867,"GOVERNMENT SERVICE EFFICIENCY
COMMITMENT ACT 2025",06/05/2025,22/05/2025,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2867079_BI/Act 867-Government Service Efficiency Commitment Act 2025.pdf
0,866,ONLINE SAFETY ACT 2025,06/05/2025,22/05/2025,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2867049_BI/Act 866-Online Safety Act 2025.pdf
0,865,"CO-OPERATIVE INSTITUTE
(INCORPORATION) ACT 1968
(REVISED—2025)",,14/05/2025,15/05/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2864054_BI/Act 865 CO-OPERATIVE INSTITUTE (INCORPORATION) ACT 1968.pdf
0,864,DATA SHARING ACT 2025,05/02/2025,20/02/2025,28/04/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2687068_BI/Act 864 - DATA SHARING ACT 2025.pdf
0,863,"MEASURES FOR THE COLLECTION, ADMINISTRATION
AND ENFORCEMENT OF TAX ACT 2024",24/12/2024,31/12/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2592590_BI/Act 863.pdf
0,862,FINANCE ACT 2024,24/12/2024,31/12/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2592589_BI/Act 862 -FINANCE ACT 2024.pdf
0,861,ENERGY EFFICIENCY AND CONSERVATION ACT 2024,14/11/2024,26/11/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2509365_BI/Energy Efficiency and Conservation Act 2024 - Act 861.pdf
0,860,MALAYSIA BORDER CONTROL AND PROTECTION AGENCY ACT 2024,09/10/2024,17/10/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430998_BI/Act 860.pdf
0,859,"BINTULU PORT AUTHORITY
(DISSOLUTION) ACT 2024",09/10/2024,17/10/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430798_BI/Act 859.pdf
0,858,"DECLARATION OF AN AREA IN
THE BINTULU DISTRICT TO BE A FEDERAL PORT (REPEAL) ACT 2024",09/10/2024,17/10/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430978_BI/Act 858.pdf
0,857,JEWELLERS (LICENSING) ACT 1917 (REVISED - 2024),,14/10/2024,15/10/2024,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2422047_BI/Jewellers (Licensing) Act 1917 Act 857.pdf
0,856,"MALAYSIAN AVIATION COMMISSION
(DISSOLUTION) ACT 2024",11/09/2024,25/09/2024,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2368185_BI/Act 856.pdf
0,855,"PRESERVATION OF PUBLIC
SECURITY (SARAWAK)
ACT 1962
(REVISED - 2024)",16/05/1962,29/07/2024,30/07/2024,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2241197_BI/Act 855- Preservation of Public Security (Sarawak) Act 1962 (BI).pdf
0,854,CYBER SECURITY ACT 2024,18/06/2024,26/06/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2177706_BI/Act 854.pdf
0,853,JURISDICTIONAL IMMUNITIES OF FOREIGN STATES ACT 2024,14/05/2024,24/05/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2138116_BI/Act 853.pdf
0,852,CONTROL OF SMOKING PRODUCTS FOR PUBLIC HEALTH ACT 2024,24/01/2024,02/02/2024,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1998006_BI/WJW240100 BI.pdf
0,851,FINANCE (NO. 2) ACT 2023,27/12/2023,29/12/2023,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1946988_BI/WJW231341 BI.pdf
0,850,"PUBLIC FINANCE AND
FISCAL RESPONSIBILITY ACT 2023",27/12/2023,29/12/2023,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1946989_BI/WJW231340 BI.pdf
0,849,THE TITULAR SUPERIOR OF THE BROTHERS OF SAINT GABRIEL (INCORPORATION) ACT 1957 (REVISED - 2023),27/06/1957,16/10/2023,17/10/2023,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1869311_BI/Act 849 The Titular Superior of The Brothers Of Saint Gabriel (Incorporation) Act 1957 (BI).pdf
0,848,"FEES (DEPARTMENT OF BROADCASTING MALAYSIA)
(VALIDATION) ACT 2023",22/07/2023,28/07/2023,29/07/2023,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1841200_BI/Act 848.pdf
0,847,REVISION OF SENTENCE OF DEATH AND IMPRISONMENT FOR NATURAL LIFE (TEMPORARY JURISDICTION OF THE FEDERAL COURT) ACT 2023,09/06/2023,16/06/2023,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1826844_BI/WJW230560 BI.pdf
0,846,ABOLITION OF MANDATORY DEATH PENALTY ACT 2023,09/06/2023,16/06/2023,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1826840_BI/Akta 846 BI.pdf
0,845,FINANCE ACT 2023,31/05/2023,31/05/2023,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1822437_BI/Act 845.pdf
0,844,THE PURE LIFE SOCIETY (SHUDDHA SAMAJAM) INCORPORATION ACT 1957 (REVISED - 2023),28/06/1957,08/05/2023,12/05/2023,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1813992_BI/Act 844 Muktamad.pdf
0,843,PRESERVATION OF PUBLIC SECURITY (SABAH) ACT 1962 (REVISED - 2023),11/05/1962,22/02/2023,01/03/2023,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1785296_BI/Act 843 warta 2023.pdf
0,842,PENANG FREE SCHOOL ACT 1920 (REVISED - 2023),,22/02/2023,01/03/2023,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1785307_BI/Act 842 Penang Free School Act 1920.pdf
0,841,PENSIONS ACT 1951 (REVISED - 2022),25/02/1951,07/11/2022,15/11/2022,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1746994_BI/Act 841.BI.pdf
0,840,ANTI-SEXUAL HARASSMENT ACT 2022,08/10/2022,18/10/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1745931_BI/WJW220000 BI.pdf
0,839,"INDEPENDENT POLICE CONDUCT COMMISSION
ACT 2022",08/10/2022,18/10/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1745930_BI/ACT 839.pdf
0,838,HOUSEWIVES' SOCIAL SECURITY ACT 2022,23/09/2022,03/10/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1744513_BI/WJW22_1107 BI Teks.pdf
0,837,MALAYSIAN BORDER SECURITY AGENCY (DISSOLUTION) ACT 2022,24/08/2022,01/09/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1741727_BI/ACT 837.pdf
0,836,GEOGRAPHICAL INDICATIONS ACT 2022,16/03/2022,18/03/2022,18/03/2022,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1726100_BI/Act 836.pdf
0,835,FACTORIES AND MACHINERY (REPEAL) ACT 2022,04/03/2022,16/03/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1725650_BI/Act 835.pdf
0,834,MALAYSIAN SPACE BOARD ACT 2022,19/01/2022,25/01/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1721500_BI/Act 834.pdf
0,833,FINANCE ACT 2021,30/12/2021,31/12/2021,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1719465_BI/ACT 833.pdf
